skew_thr,streak_sec,cheap_thr,all_slices_positive,min_slice_pnl_usd,pnl_sum_usd_full,ev_per_window_usd_full,hits_full,slice_0_pnl_usd,slice_1_pnl_usd,slice_2_pnl_usd,slice_3_pnl_usd,slice_4_pnl_usd,slice_5_pnl_usd,slice_6_pnl_usd,slice_7_pnl_usd,slice_8_pnl_usd,slice_9_pnl_usd
0.76,16,0.18,0,-8.0,1173.359456,1.175711,151,964.985167,211.782786,4.132353,-6.444444,-5.117647,-1.444444,-3.444444,8.993464,-8.0,7.916667
0.76,16,0.19,0,-8.0,1175.812586,1.178169,151,964.985167,211.163591,3.513158,-1.473684,-5.117647,-1.444444,-3.736842,8.993464,-8.0,6.929825
0.76,16,0.2,0,-4.0,1089.62614,1.09181,153,869.985167,214.496924,3.513158,3.526316,-1.117647,-1.444444,-4.0,2.0,-4.0,6.666667
0.76,16,0.21,0,-4.0,1000.7889,1.002794,154,869.985167,118.757576,3.513158,3.025063,-2.238095,-1.444444,-4.0,6.761905,-4.0,10.428571
0.76,16,0.22,0,-4.0,1019.503185,1.021546,156,869.985167,123.08658,8.058612,1.570517,-3.909091,3.10101,5.090909,6.307359,-4.0,10.212121
0.76,18,0.15,0,-10.0,1172.401543,1.174751,143,953.253247,206.900433,7.666667,-2.307692,-10.0,-7.0,-5.0,17.444444,-1.333333,12.777778
0.76,18,0.16,0,-12.0,1144.173882,1.146467,150,949.995671,206.900433,3.5,-12.0,-11.0,-7.0,-8.0,15.611111,-1.75,7.916667
0.76,18,0.17,0,-8.0,1152.835646,1.155146,152,949.628024,206.900433,3.132353,-6.117647,-6.117647,-7.0,-8.0,14.243464,-1.75,7.916667
0.76,18,0.18,0,-6.444444,1161.925516,1.164254,153,949.628024,206.900433,3.132353,-6.444444,-6.117647,-2.444444,-2.444444,13.54902,-1.75,7.916667
0.76,18,0.19,0,-8.0,1156.575744,1.158894,153,947.748325,206.900433,2.513158,-1.473684,-6.117647,-2.444444,-2.736842,13.256622,-8.0,6.929825
0.76,18,0.2,0,-8.0,1060.862982,1.062989,154,852.485167,205.233766,2.513158,3.526316,-2.117647,-2.444444,-3.0,6.0,-8.0,6.666667
0.76,18,0.21,0,-8.0,972.526995,0.974476,155,852.485167,114.757576,2.513158,3.025063,-3.238095,-2.444444,-3.0,6.0,-8.0,10.428571
0.76,18,0.22,0,-8.0,991.02483,0.993011,157,852.485167,118.87013,7.058612,1.570517,-4.909091,2.10101,6.090909,5.545455,-8.0,10.212121
0.76,20,0.15,0,-10.0,1218.401543,1.220843,147,953.253247,255.900433,6.666667,-3.307692,-10.0,-8.0,-5.0,17.444444,-1.333333,12.777778
0.76,20,0.16,0,-13.0,1190.173882,1.192559,154,949.995671,255.900433,2.5,-13.0,-11.0,-8.0,-8.0,15.611111,-1.75,7.916667
0.76,20,0.17,0,-8.0,1198.835646,1.201238,156,949.628024,255.900433,2.132353,-7.117647,-6.117647,-8.0,-8.0,14.243464,-1.75,7.916667
0.76,20,0.18,0,-7.444444,1207.925516,1.210346,157,949.628024,255.900433,2.132353,-7.444444,-6.117647,-3.444444,-2.444444,13.54902,-1.75,7.916667
0.76,20,0.19,0,-8.0,1202.575744,1.204986,157,947.748325,255.900433,1.513158,-2.473684,-6.117647,-3.444444,-2.736842,13.256622,-8.0,6.929825
0.76,20,0.2,0,-8.0,1106.862982,1.109081,158,852.485167,254.233766,1.513158,2.526316,-2.117647,-3.444444,-3.0,6.0,-8.0,6.666667
0.76,20,0.21,0,-8.0,1013.76509,1.015797,159,852.485167,158.995671,1.513158,2.025063,-3.238095,-3.444444,-3.0,6.0,-8.0,10.428571
0.76,20,0.22,0,-8.0,1037.02483,1.039103,161,852.485167,163.324675,6.058612,5.115972,-4.909091,1.10101,6.090909,5.545455,-8.0,10.212121
0.76,22,0.15,0,-8.0,1228.211067,1.230672,151,953.253247,262.04329,5.666667,-3.307692,-4.333333,-8.0,-5.0,17.444444,-1.333333,11.777778
0.76,22,0.16,0,-13.0,1198.673882,1.201076,158,949.995671,261.150433,1.5,-13.0,-5.75,-8.0,-8.0,15.611111,-1.75,6.916667
0.76,22,0.17,0,-8.0,1206.967999,1.209387,160,949.628024,261.150433,1.132353,-7.117647,-1.235294,-8.0,-8.0,14.243464,-1.75,6.916667
0.76,22,0.18,0,-7.444444,1209.807869,1.212232,161,949.628024,261.150433,1.132353,-7.444444,-1.235294,-3.444444,-2.444444,13.54902,-1.75,0.666667
